,price,acreage,location
0,Price not specified,"1,693 acres","New Canada, ME"
1,Price not specified,514 acres,"Bucksport, ME"
2,Price not specified,710 acres,"Guilford, ME"
3,Price not specified,295 acres,"Van Buren, ME"
4,Price not specified,229 acres,"Northport, ME"
5,Price not specified,150 acres,"Northport, ME"
